"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:00","1:00","0.09","10:37","--","96","112","13","0","--","--","--","--","116","--","--","0.81","--","--","3","31.0","8:26","141","0:53","9:22"
"2","0:45","1:45","0.01","0","--","123","133","3","0","--","--","--","--","13","--","--","0.71","--","--","4","31.0","8:23","142","0:01","2:28"
"3","1:00","2:45","0.11","8:52","--","131","143","36","0","--","--","--","--","137","--","--","0.82","--","--","6","31.0","8:16","145","0:59","8:44"
"4","0:45","3:30","0.02","47:54","--","137","144","4","0","--","--","--","--","30","--","--","0.69","--","--","5","31.0","8:33","142","0:07","7:27"
"5","1:00","4:30","0.10","9:43","--","116","127","12","0","--","--","--","--","132","--","--","0.78","--","--","5","31.0","8:51","141","0:57","9:14"
"6","0:45","5:15","0.01","0","--","116","123","0","0","--","--","--","--","9","--","--","0.84","--","--","3","31.0","9:12","136","0:02","5:51"
"7","1:00","6:15","0.10","9:33","--","112","117","0","43","--","--","--","--","129","--","--","0.81","--","--","4","31.0","7:09","141","0:57","9:04"
"8","0:45","7:00","0.00","0","--","124","130","0","2","--","--","--","--","9","--","--","0.67","--","--","4","31.0","7:40","140","0:02","7:12"
"9","1:00","8:00","0.10","9:35","--","110","120","0","23","--","--","--","--","127","--","--","0.82","--","--","4","31.0","8:19","141","0:59","9:26"
"10","0:45","8:45","0.00","0","--","113","115","0","0","--","--","--","--","6","--","--","0.50","--","--","3","31.0","8:23","138","0","--"
"11","1:00","9:45","0.11","9:25","--","113","116","0","10","--","--","--","--","123","--","--","0.87","--","--","4","31.0","7:56","144","1:00","9:25"
"12","0:45","10:30","0.02","46:10","--","120","123","0","2","--","--","--","--","33","--","--","0.66","--","--","3","31.0","8:14","138","0:05","5:08"
"13","1:00","11:30","0.11","9:16","--","133","152","0","2","--","--","--","--","136","--","--","0.79","--","--","6","30.1","7:28","165","0:55","8:30"
"14","0:45","12:15","0.01","0","--","146","152","0","0","--","--","--","--","18","--","--","0.56","--","--","6","30.0","9:04","165","0","--"
"15","1:00","13:15","0.11","9:15","--","131","142","0","0","--","--","--","--","131","--","--","0.83","--","--","6","30.0","8:16","145","0:56","8:38"
"16","0:45","14:00","0.01","0","--","138","143","0","0","--","--","--","--","20","--","--","0.57","--","--","5","30.0","8:26","142","0","--"
"17","5:00.9","19:01","0.01","0","--","90","131","1","0","--","--","--","--","2","--","--","0.53","--","--","10","30.0","12:24","117","0:36","0"
"Summary","19:01","19:01","0.91","20:47","","113","152","69","82","","","","","60","","","0.69","","","81","30.6","7:09","165","8:29","9:16"
